Data,Kurs
2004-10-07,2.7857
2004-10-08,2.796
2004-10-11,2.7833
2004-10-12,2.772
2004-10-13,2.784
2004-10-14,2.7796
2004-10-15,2.7946
2004-10-18,2.7854
2004-10-19,2.7856
2004-10-20,2.794
2004-10-21,2.8058
2004-10-22,2.7929
2004-10-25,2.8139
2004-10-26,2.8469
2004-10-27,2.8386
2004-10-28,2.8324
2004-10-29,2.8355
2004-11-02,2.8153
2004-11-03,2.8105
2004-11-04,2.8145
2004-11-05,2.8048
2004-11-08,2.8004
2004-11-09,2.7931
2004-11-10,2.7948
2004-11-12,2.8173
2004-11-15,2.8066
2004-11-16,2.7987
2004-11-17,2.8059
2004-11-18,2.7958
2004-11-19,2.8103
2004-11-22,2.7876
2004-11-23,2.7757
2004-11-24,2.7797
2004-11-25,2.7918
2004-11-26,2.7867
2004-11-29,2.7825
2004-11-30,2.7846
2004-12-01,2.7576
2004-12-02,2.7323
2004-12-03,2.7378
2004-12-06,2.7313
2004-12-07,2.7331
2004-12-08,2.7303
2004-12-09,2.7192
2004-12-10,2.7562
2004-12-13,2.7379
2004-12-14,2.7267
2004-12-15,2.721
2004-12-16,2.7179
2004-12-17,2.7051
2004-12-20,2.6842
2004-12-21,2.6677
2004-12-22,2.6594
2004-12-23,2.6439
2004-12-24,2.6423
2004-12-27,2.6382
2004-12-28,2.6229
2004-12-29,2.6285
2004-12-30,2.6413
2004-12-31,2.6421
2005-01-03,2.6412
2005-01-04,2.6315
2005-01-05,2.6625
2005-01-06,2.6592
2005-01-07,2.6555
2005-01-10,2.6357
2005-01-11,2.632
2005-01-12,2.6261
2005-01-13,2.6428
2005-01-14,2.6258
2005-01-17,2.6377
2005-01-18,2.6415
2005-01-19,2.647
2005-01-20,2.6653
2005-01-21,2.644
2005-01-24,2.6355
2005-01-25,2.6328
2005-01-26,2.6284
2005-01-27,2.6263
2005-01-28,2.6295
2005-01-31,2.6136
2005-02-01,2.6124
2005-02-02,2.6144
2005-02-03,2.5616
2005-02-04,2.5572
2005-02-07,2.5416
2005-02-08,2.5449
2005-02-09,2.5712
2005-02-10,2.5698
2005-02-11,2.5927
2005-02-14,2.5862
2005-02-15,2.5689
2005-02-16,2.57
2005-02-17,2.582
2005-02-18,2.5812
2005-02-21,2.5778
2005-02-22,2.5761
2005-02-23,2.5723
2005-02-24,2.5635
2005-02-25,2.5358
2005-02-28,2.541
2005-03-01,2.5408
2005-03-02,2.5404
2005-03-03,2.5399
2005-03-04,2.5357
2005-03-07,2.5086
2005-03-08,2.5045
2005-03-09,2.5047
2005-03-10,2.5599
2005-03-11,2.5529
2005-03-14,2.5675
2005-03-15,2.581
2005-03-16,2.6277
2005-03-17,2.6693
2005-03-18,2.622
2005-03-21,2.6283
2005-03-22,2.6354
2005-03-23,2.6521
2005-03-24,2.6571
2005-03-25,2.6518
2005-03-29,2.6841
2005-03-30,2.6553
2005-03-31,2.6341
2005-04-01,2.6329
2005-04-04,2.6497
2005-04-05,2.6565
2005-04-06,2.6486
2005-04-07,2.6475
2005-04-11,2.6463
2005-04-12,2.6391
2005-04-13,2.6305
2005-04-14,2.651
2005-04-15,2.6603
2005-04-18,2.6935
2005-04-19,2.7159
2005-04-20,2.7023
2005-04-21,2.7049
2005-04-22,2.7155
2005-04-25,2.7254
2005-04-26,2.7203
2005-04-27,2.7459
2005-04-28,2.7565
2005-04-29,2.7801
2005-05-02,2.7742
2005-05-04,2.7452
2005-05-05,2.7043
2005-05-06,2.6809
2005-05-09,2.6605
2005-05-10,2.6897
2005-05-11,2.7087
2005-05-12,2.6861
2005-05-13,2.7063
2005-05-16,2.7226
2005-05-17,2.73
2005-05-18,2.7269
2005-05-19,2.6962
2005-05-20,2.692
2005-05-23,2.712
2005-05-24,2.7057
2005-05-25,2.7071
2005-05-27,2.7039
2005-05-30,2.6813
2005-05-31,2.6719
2005-06-01,2.7068
2005-06-02,2.694
2005-06-03,2.6855
2005-06-06,2.6716
2005-06-07,2.6546
2005-06-08,2.6511
2005-06-09,2.6342
2005-06-10,2.625
2005-06-13,2.6246
2005-06-14,2.6339
2005-06-15,2.6208
2005-06-16,2.6284
2005-06-17,2.6363
2005-06-20,2.6477
2005-06-21,2.6254
2005-06-22,2.6275
2005-06-23,2.6075
2005-06-24,2.6145
2005-06-27,2.6147
2005-06-28,2.6297
2005-06-29,2.6243
2005-06-30,2.6072
2005-07-01,2.5957
2005-07-04,2.5913
2005-07-05,2.5927
2005-07-06,2.609
2005-07-07,2.6561
2005-07-08,2.6323
2005-07-11,2.627
2005-07-12,2.6402
2005-07-13,2.6525
2005-07-14,2.6663
2005-07-15,2.6666
2005-07-18,2.6456
2005-07-19,2.6292
2005-07-20,2.645
2005-07-21,2.6447
2005-07-22,2.6291
2005-07-25,2.6311
2005-07-26,2.6376
2005-07-27,2.6359
2005-07-28,2.6116
2005-07-29,2.6114
2005-08-01,2.6055
2005-08-02,2.6056
2005-08-03,2.6202
2005-08-04,2.6164
2005-08-05,2.6151
2005-08-08,2.6043
2005-08-09,2.5965
2005-08-10,2.5911
2005-08-11,2.5949
2005-08-12,2.5951
2005-08-16,2.6011
2005-08-17,2.5977
2005-08-18,2.5938
2005-08-19,2.596
2005-08-22,2.5996
2005-08-23,2.5874
2005-08-24,2.5797
2005-08-25,2.618
2005-08-26,2.6229
2005-08-29,2.6306
2005-08-30,2.6128
2005-08-31,2.6117
2005-09-01,2.5746
2005-09-02,2.577
2005-09-05,2.5542
2005-09-06,2.5607
2005-09-07,2.5347
2005-09-08,2.5483
2005-09-09,2.5622
2005-09-12,2.5497
2005-09-13,2.5429
2005-09-14,2.5447
2005-09-15,2.5174
2005-09-16,2.5105
2005-09-19,2.5135
2005-09-20,2.507
2005-09-21,2.516
2005-09-22,2.5159
2005-09-23,2.5126
2005-09-26,2.5141
2005-09-27,2.5
2005-09-28,2.5097
2005-09-29,2.5053
2005-09-30,2.518
2005-10-03,2.5188
2005-10-04,2.5358
2005-10-05,2.5329
2005-10-06,2.5423
2005-10-07,2.5425
2005-10-10,2.5056
2005-10-11,2.5001
2005-10-12,2.5037
2005-10-13,2.5141
2005-10-14,2.5381
2005-10-17,2.5147
2005-10-18,2.5017
2005-10-19,2.5072
2005-10-20,2.5123
2005-10-21,2.5241
2005-10-24,2.5269
2005-10-25,2.5427
2005-10-26,2.5448
2005-10-27,2.5837
2005-10-28,2.5819
2005-10-31,2.5813
2005-11-02,2.5646
2005-11-03,2.5697
2005-11-04,2.5733
2005-11-07,2.6075
